Título,Ano de Publicação
Dom Casmurro,1900
Memórias de um Sargento de Milícias,1925
Brida,1990
The passion according to G.H,1964
Historia da litteratura portugueza,1800
Pequena bibliografia crítica da literatura brasileira,1951
Café na cama,1960
Una interpretación de la literatura brasileña [por] Viana Moog,1951
Nueva historia de la gran literatura ibero-americana,1960
A literatura no Brasil,1997
"Brazil, an interpretation",1945
Introdução à literatura no Brasil,1959
História concisa da literatura brasileira,1970
Artful seduction,2003
Brief history of Brazilian literature,1958
Dicionário de literatura,1969
Idéas de Géca Tatu,1919
The Negro in Brazilian literature,1956
Literature Beyond the Human,2022
The modern culture of Latin America,1967
"O modernismo, 1916-1945",1965
Pontos de vista,1991
História da literatura brasileira,1943
Memórias de um gigolô,1968
Pequeña história da literatura brasileira,1958
Introdução à literatura no Brasil,1966
Escritores brasileiros contemporâneos,1960
Brazilian literature,1922
Bibliotheca Brasiliense,1907
Machado de Assis,1970
Formação da literatura brasileira,1959
Vidas Secas,1986
Profilo sociologico della letteratura brasiliana,1971
Cartas literarias,1895
Modernismo & vanguarda,2000
Situações da ficção brasileira,1970
Estudos de literatura brasileira,1957
Literature and Ethics in Contemporary Brazil,2017
Cities of the Lusophone World,2018
"Gender, Empire, and Postcolony",2014
História da literatura brasileira,1954
História do modernismo brasileiro,1964
Modernismo,1970
A crítica literária no Brasil,1952
Between the lines,2008
Postcolonial Ulysses in the Lusophone World,2020
Sexo na cabeça,1980
La littérature portugaise,1935
"Románticos, pré-románticos, ultra-románticos",1979
Perto do coração selvagem,1982
Éramos seis,1945
De:tales,2006
Ser como o rio que flui,2006
Cadernos Negros: Literatura Afro-Brasileira Contemporanea = Black Notebooks,2006
Cadernos Negros: Movimento Literario Afro-Brasileiro Contemporaneo = Black Notebooks,2006
The Afro-Brazilian Mind,2006
Manual de literatura brasileira,1955
Dicionário bibliografico portuguez,1858
Diabo na livraria do cônego,1957
Autobibliografias,1998
O ensino da literatura,1966
Literatura e sociedade,1965
Presença da literatura brasileira,1964
As cançōes sem metro,1900
Amor de asas & outros ensaios,1985
Perfil sociológico da literatura brasileira,1975
História da literatura brasileira,1955
Ramo de louro,1928
A ilustração na produção literária,1985
Da razão à emoção,1968
Modernismo e realismo,1981
Entre lógicos e místicos,1968
Que yo también soy pueta,2007
Novos estudos de literatura brasileira,1980
Visão histórica da literatura piauiense,1976
Dicionário de literatura,1997
Brazil under Construction,2013
A Cultural History of Rio de Janeiro after 1889,2016
"Imprensa, história e literatura",2008
Os centenários,2001
Prosa dos pagos,1943
O mito e sua expressão na literatura hispano-americana,1982
Salvados,1982
Dicionário do escritor goiano,2000
Um gato no triângulo,1953
Quadro sintético da literatura brasileira,1956
"Filosofia, história e crítica na literatura brasileira",1967
Autores contemporâneos brasileiros,1996
Crítica,1933
Literatura nos jornais,2007
Nueva historia de la gran literatura iberoamericana,1961
Black Butterfly,2019
The golden land,1948
"Crítica reunida, 1850-1892",2005
Vanguarda européia e modernismo brasileiro,1972
Travaux de linguistique hispanique,1994
Literatura brasileira,1965
Pequena historia da literatura brasileira,1919
Introdução à história da literatura catarinense,1980
República das letras,1957
