Título,Ano de Publicação
História da Literatura Brasileira,2015
As bases da literatura brasileira,1999
História da literatura brasileira,1999
Tempos da literatura brasileira,1985
História Concisa da Literatura Brasileira,1994
A literatura brasileira,1999
Compendio de historia da literatura brasileira,1909
Literatura brasileira I,2023
Literatura brasileira contemporânea,2017
Uma interpretação da literatura brasileira,2006
Estudos de literatura brasileira e portuguesa,2007
Alguma prosa,2007
História da literatura brasileira,2004
História da Literatura Brasileira - Vol. III,2020
Nova história da literatura brasileira,1947
De Anchieta a Euclides,2016
Pequeno dicionário de literatura brasileira,2001
Pelas veredas da literatura brasileira,1994
Enciclopédia de literatura brasileira,2001
Relações étnico-raciais na literatura brasileira do século XXI,2024
Formação da literatura brasileira,2023
Notícia da atual literatura brasileira,2021
História da literatura brasileira,1980
Aspectos da literatura brasileira,1943
A poeira da glória,2015
Origens da literatura brasileira,1979
Breve história da literatura brasileira,1995
A Ficção da Página: Seleção de Ensaios sobre a Literatura Brasileira,2020
História da literatura brasileira,1988
Formação da literatura brasileira,2009
Literatura brasileira contemporânea: um território contestado,2017
Fora do retrato,2019
História da Literatura Brasileira,2021
Conceito de literatura brasileira,1981
Historia da Literatura Brasileira,2020
Leituras de literatura brasileira contemporânea,2015
A Escrita da Cidade,2024
História da literatura brasileira,1999
História da literatura brasileira,1953
Estudos de cultura e literatura brasileira,1988
